,appearance,breakfast,service,staff,variety,price,taste,hotel
4614,2,"Yes, next time not",3,4,1,3,3,3
4615,2,No,6,2,1,3,3,3
4616,4,No,5,2,3,6,6,5
4617,1,No,5,2,1,2,2,2
4618,1,No,5,2,1,2,2,2
4619,5,No,5,4,4,7,6,6
4620,1,No,5,2,1,2,2,2
4621,1,No,5,2,1,2,2,2
4622,1,"Yes, next time not",7,3,1,1,1,2
4623,5,No,5,4,3,7,7,7
4624,1,No,5,2,1,1,1,1
4625,9,No,6,4,10,10,10,10
4626,5,"Yes, next time not",7,7,3,6,6,7
4627,3,No,4,3,2,5,5,4
4628,4,No,6,4,2,6,6,6
4629,5,No,6,4,4,7,7,7
4630,5,No,6,4,6,7,7,7
4631,3,No,6,4,2,5,5,5
4632,5,No,5,2,3,6,6,6
4633,1,No,5,2,1,2,2,2
4634,2,No,4,2,1,3,3,3
4635,4,"Yes, again",10,8,2,5,5,6
4636,2,No,5,2,1,3,3,3
4637,1,No,6,4,1,2,2,2
4638,3,No,6,3,2,4,4,4
4639,2,"Yes, next time not",7,6,1,2,2,3
4640,4,No,5,4,2,5,6,5
4641,4,No,5,4,6,6,6,6
4642,3,No,5,2,2,4,4,4
4643,2,No,5,3,1,3,2,3
4644,2,"Yes, next time not",7,5,1,3,3,3
4645,2,"Yes, next time not",7,4,1,3,3,3
4646,1,No,5,4,1,2,2,2
4647,1,No,5,4,1,1,1,1
4648,5,No,5,4,3,6,6,6
4649,2,No,6,4,1,3,3,3
4650,3,No,5,4,2,4,4,4
4651,2,No,5,4,1,4,4,4
4652,1,No,5,3,1,1,1,1
4653,1,"Yes, next time not",7,1,1,2,2,3
4654,1,No,5,2,1,2,2,2
4655,3,"Yes, again",8,4,2,4,4,5
4656,4,No,6,4,3,5,6,5
4657,6,No,4,4,6,8,8,7
4658,1,No,5,3,1,1,1,1
4659,5,No,5,3,5,7,7,6
4660,4,No,6,2,5,6,6,6
4661,2,No,6,2,1,3,3,3
4662,5,No,5,4,3,7,7,7
4663,1,No,6,4,1,2,2,2
4664,7,No,5,4,4,8,8,8
4665,1,No,5,2,1,1,1,1
4666,1,No,5,3,1,1,1,1
4667,7,No,4,2,5,8,8,8
4668,3,No,6,2,2,4,4,4
4669,1,No,5,2,1,1,1,1
4670,1,"Yes, next time not",6,3,1,1,1,1
4671,2,"Yes, next time not",6,3,1,3,3,4
4672,7,No,5,4,10,8,8,8
4673,1,No,5,4,1,1,1,1
4674,2,No,5,3,1,3,3,3
4675,4,"Yes, again",8,5,2,6,5,6
4676,2,No,5,3,1,4,4,4
4677,7,"Yes, next time not",5,6,5,8,8,8
4678,2,"Yes, next time not",2,6,1,3,3,3
4679,3,No,5,2,2,4,5,4
4680,2,No,6,4,1,3,3,3
4681,4,No,6,3,2,6,6,6
4682,5,No,5,3,2,6,6,6
4683,1,No,5,2,1,2,2,2
4684,3,No,6,2,2,4,4,5
4685,1,"Yes, next time not",7,3,1,2,2,2
4686,1,No,5,2,1,1,1,1
4687,1,No,5,3,1,2,2,2
4688,3,"Yes, again",7,5,2,4,4,5
4689,2,"Yes, next time not",4,7,1,3,3,3
4690,3,No,6,2,2,4,4,4
4691,2,"Yes, next time not",8,5,1,3,3,3
4692,1,No,5,4,1,2,2,2
4693,7,No,5,2,6,9,9,8
4694,7,No,5,3,6,8,8,8
4695,3,No,5,2,2,5,5,5
4696,5,No,6,4,3,6,6,6
4697,4,"Yes, again",2,6,3,6,6,5
4698,2,No,5,4,1,3,3,3
4699,1,No,5,2,1,2,2,2
4700,5,No,5,4,3,7,6,6
4701,2,No,5,4,1,3,3,3
4702,2,No,4,4,1,4,4,3
4703,4,No,5,4,3,5,5,5
4704,2,No,5,2,1,3,3,3
4705,2,No,6,4,1,3,3,3
4706,1,No,5,2,1,2,2,2
4707,4,"Yes, next time not",8,4,2,5,5,6
4708,3,"Yes, again",8,4,1,4,4,5
4709,2,No,5,3,1,3,3,3
4710,3,No,6,4,2,4,4,4
4711,1,No,5,3,1,2,2,2
4712,1,"Yes, next time not",6,5,1,2,2,2
4713,1,"Yes, next time not",6,2,1,1,1,2
4714,6,No,5,2,5,7,7,7
4715,1,No,5,3,1,2,2,2
4716,1,No,5,3,1,2,1,2
4717,2,"Yes, next time not",6,4,1,3,3,3
4718,5,No,6,4,5,7,6,6
4719,2,No,5,3,1,4,3,3
4720,1,No,6,2,1,2,1,2
4721,2,No,6,3,1,3,3,3
4722,1,No,6,2,1,1,1,1
4723,1,No,4,2,1,1,1,1
4724,1,No,5,3,1,1,1,1
4725,5,"Yes, again",7,2,2,7,6,7
4726,1,No,5,2,1,2,2,2
4727,1,No,5,3,1,2,2,2
4728,4,No,4,6,5,6,6,5
4729,9,No,5,4,8,9,10,9
4730,9,"Yes, next time not",6,5,10,9,9,10
4731,4,"Yes, again",2,4,3,6,6,5
4732,1,No,5,4,1,1,1,1
4733,1,"Yes, next time not",7,2,1,1,1,1
4734,3,"Yes, again",5,9,1,5,5,5
4735,5,No,4,4,5,6,6,6
4736,1,No,4,3,1,1,1,1
4737,4,No,4,3,4,6,6,6
4738,1,No,4,4,1,2,2,1
4739,2,No,4,4,1,3,4,3
4740,1,No,6,4,1,1,1,1
4741,1,No,5,4,1,2,2,2
4742,5,No,6,2,3,7,7,7
4743,7,No,4,4,4,8,8,8
4744,4,"Yes, next time not",7,4,1,5,5,6
4745,1,No,5,3,1,2,2,2
4746,2,No,5,2,1,4,4,4
4747,1,No,5,2,1,2,2,2
4748,3,No,5,3,2,4,4,4
4749,3,No,5,4,2,4,5,4
4750,4,No,6,2,3,6,6,6
4751,3,No,5,3,2,4,4,4
4752,1,No,6,3,1,1,1,2
4753,1,No,6,2,1,2,2,2
4754,2,"Yes, next time not",6,5,1,3,3,3
4755,5,No,5,2,6,7,7,7
4756,7,No,4,4,8,8,9,8
4757,4,No,5,2,5,6,6,6
4758,1,No,5,3,1,2,2,2
4759,2,No,5,4,2,3,4,3
4760,2,No,5,4,1,3,3,3
4761,1,"Yes, next time not",3,6,1,1,1,1
4762,1,No,6,2,1,1,1,1
4763,2,No,5,4,1,3,3,3
4764,1,No,5,4,1,2,2,1
4765,1,No,5,2,1,2,1,1
4766,1,No,5,2,1,1,1,2
4767,2,No,5,3,1,3,3,3
4768,2,"Yes, next time not",6,6,1,3,3,3
4769,1,"Yes, next time not",6,2,1,1,1,1
4770,7,No,6,3,5,8,8,8
4771,7,No,5,2,5,8,8,8
4772,1,No,6,2,1,1,1,1
4773,4,"Yes, next time not",7,4,4,6,6,6
4774,1,"Yes, next time not",6,4,1,1,1,2
4775,5,No,5,3,6,7,7,7
4776,4,No,5,4,3,5,6,5
4777,4,No,5,2,2,6,6,6
4778,8,No,6,2,7,9,9,9
4779,2,No,3,4,1,3,3,3
4780,4,"Yes, next time not",6,8,2,6,6,6
4781,2,No,5,4,1,3,3,3
4782,2,No,6,2,1,4,4,4
4783,4,"Yes, again",8,4,2,5,5,6
4784,4,"Yes, next time not",3,2,2,6,6,5
4785,5,No,5,2,3,6,6,6
4786,3,No,4,4,2,5,5,4
4787,4,No,5,3,3,6,6,6
4788,4,"Yes, next time not",6,6,3,6,6,6
4789,7,"Yes, next time not",6,5,6,7,8,8
4790,2,No,5,4,1,3,3,3
4791,1,No,4,6,1,1,2,1
4792,6,No,5,2,3,7,7,7
4793,2,No,6,2,1,3,3,3
4794,3,No,5,3,3,4,4,4
4795,1,No,5,2,1,2,2,2
4796,4,"Yes, next time not",7,4,2,5,5,5
4797,1,No,6,4,1,1,1,2
4798,5,"Yes, again",7,6,3,6,6,6
4799,6,No,6,3,4,7,7,7
4800,5,No,6,2,5,7,7,7
4801,1,No,5,2,1,2,2,2
4802,1,"Yes, again",8,2,1,1,1,2
4803,3,No,5,4,2,4,5,4
4804,1,No,6,1,1,1,1,1
4805,5,No,5,4,4,7,7,7
4806,2,No,5,2,1,3,3,3
4807,3,No,5,3,2,4,5,4
4808,5,No,5,6,3,7,7,6
4809,4,No,5,3,2,5,6,5
4810,5,"Yes, next time not",3,6,4,7,7,6
4811,7,No,6,3,6,8,8,8
4812,1,No,6,2,1,2,2,2
4813,1,No,4,4,1,1,1,1
4814,1,No,5,3,1,1,1,1
4815,5,No,5,3,3,7,7,7
4816,7,No,5,3,8,8,8,8
4817,3,No,5,2,2,4,4,4
4818,2,No,4,4,1,3,3,3
4819,1,No,6,2,1,2,2,2
4820,2,No,6,4,2,3,3,3
4821,3,No,4,6,1,4,4,4
4822,1,"Yes, next time not",7,3,1,1,1,2
4823,5,"Yes, next time not",6,6,3,6,6,6
4824,1,No,4,4,1,2,2,2
4825,1,No,5,2,1,2,2,2
4826,5,No,5,2,6,7,7,6
4827,5,"Yes, again",8,2,2,6,6,7
4828,4,"Yes, next time not",2,7,4,6,6,5
4829,1,No,5,3,1,1,1,1
4830,4,"Yes, next time not",7,4,3,5,6,6
4831,6,No,6,4,3,7,7,7
4832,2,No,5,2,1,3,3,3
4833,1,No,6,3,1,2,2,2
4834,4,No,3,2,2,6,6,5
4835,1,No,5,4,1,1,1,1
4836,3,No,6,4,2,4,4,4
4837,4,"Yes, next time not",7,1,3,5,5,6
4838,1,No,5,4,1,2,2,2
4839,1,No,4,3,1,2,2,1
4840,1,No,6,3,1,1,1,2
4841,5,No,5,4,3,6,6,6
4842,1,"Yes, next time not",7,4,1,1,1,1
4843,1,No,5,2,1,2,2,2
4844,5,No,5,4,3,6,6,6
4845,9,No,5,4,8,10,10,10
4846,1,No,5,4,1,2,2,2
4847,4,"Yes, again",8,3,2,5,5,6
4848,2,No,5,2,1,3,3,3
4849,2,No,6,3,1,3,3,3
4850,2,No,5,2,1,4,3,3
4851,3,No,6,2,2,4,4,4
4852,4,"Yes, next time not",6,6,4,6,6,6
4853,2,No,5,4,1,3,3,3
4854,2,"Yes, next time not",6,5,1,3,3,4
4855,1,No,6,3,1,1,1,1
4856,5,No,6,4,4,6,7,7
4857,1,No,6,2,1,1,1,2
4858,2,No,6,4,1,3,3,3
4859,1,No,4,3,1,2,2,2
4860,5,"Yes, again",7,4,1,6,6,6
4861,5,No,6,2,4,7,7,7
4862,1,No,5,2,1,1,1,1
4863,2,No,6,2,2,3,3,3
4864,6,No,6,4,4,7,7,7
4865,4,No,5,4,2,6,6,6
4866,1,No,6,2,1,1,1,1
4867,4,No,5,4,3,6,6,6
4868,1,No,5,2,1,1,1,1
4869,5,No,5,3,4,6,6,6
4870,7,No,4,4,6,8,8,8
4871,1,No,5,2,1,1,1,1
4872,1,No,6,2,1,2,2,2
4873,2,No,4,4,1,4,4,3
4874,1,No,5,2,1,1,1,1
4875,2,No,6,2,1,3,3,3
4876,5,No,5,4,4,6,6,6
4877,1,No,6,4,1,1,1,1
4878,4,"Yes, next time not",7,3,3,5,5,6
4879,1,No,5,4,1,1,1,1
4880,2,No,5,3,1,3,3,3
4881,2,No,5,3,2,3,3,3
4882,1,No,5,3,1,1,1,1
4883,2,"Yes, again",3,3,1,4,4,3
4884,5,No,5,2,4,7,7,7
4885,1,No,5,2,1,2,2,2
4886,7,"Yes, next time not",7,4,6,7,8,8
4887,1,No,5,3,1,2,2,2
4888,3,"Yes, next time not",7,6,1,4,4,4
4889,1,No,5,3,1,1,2,1
4890,7,"Yes, next time not",7,5,4,7,8,8
4891,1,No,6,2,1,1,1,1
4892,2,No,5,4,1,3,3,3
4893,1,No,6,2,1,2,2,2
4894,5,No,4,4,6,7,7,7
4895,4,"Yes, next time not",5,3,2,5,5,5
4896,2,No,6,3,2,4,4,4
4897,1,No,6,2,1,2,2,2
4898,1,No,6,4,1,2,2,2
4899,1,No,6,4,1,1,1,2
4900,2,No,5,2,1,3,4,4
4901,1,No,5,2,1,2,2,2
4902,3,"Yes, next time not",6,2,2,4,4,5
4903,2,No,5,4,1,3,3,3
4904,5,No,5,2,3,6,6,6
4905,1,No,5,3,1,2,2,1
4906,2,No,5,2,2,3,3,3
4907,1,No,5,4,1,2,2,2
4908,2,"Yes, again",8,4,1,3,2,3
4909,3,No,6,2,2,4,4,4
4910,4,"Yes, again",8,5,2,6,5,6
4911,3,"Yes, again",9,5,1,4,4,5
4912,2,No,6,4,2,3,3,3
4913,2,"Yes, next time not",6,3,1,3,3,3
4914,4,"Yes, next time not",2,6,2,6,5,5
4915,1,No,5,2,1,1,1,1
4916,1,No,4,4,1,2,2,1
4917,3,No,6,4,2,5,5,5
4918,4,No,5,4,3,5,5,5
4919,4,No,6,3,2,6,6,6
4920,5,No,6,3,5,7,7,7
4921,1,No,4,4,1,3,2,2
4922,1,No,6,3,1,1,1,1
4923,2,No,6,2,1,3,3,3
4924,1,No,5,3,1,2,1,2
4925,2,No,5,2,1,3,3,3
4926,4,"Yes, next time not",7,2,4,6,6,6
4927,5,No,6,3,6,7,7,7
4928,6,"Yes, next time not",7,3,3,7,7,7
4929,3,No,5,3,2,5,5,5
4930,2,No,6,2,1,3,3,3
4931,2,No,6,4,1,3,3,3
4932,3,No,5,3,2,5,5,5
4933,1,No,5,4,1,1,1,1
4934,5,No,5,2,3,6,6,6
4935,5,No,6,4,3,7,7,7
4936,7,No,6,2,7,8,8,8
4937,1,"Yes, again",5,4,1,2,2,2
4938,1,"Yes, next time not",7,3,1,1,1,1
4939,1,No,6,2,1,2,2,2
4940,4,"Yes, next time not",5,6,3,6,6,6
4941,2,"Yes, next time not",3,7,1,4,4,3
4942,5,"Yes, next time not",7,6,3,6,6,7
4943,1,"Yes, next time not",7,3,1,2,2,2
4944,1,"Yes, next time not",7,3,1,1,1,2
4945,5,"Yes, next time not",3,6,3,7,7,6
4946,1,"Yes, next time not",7,5,1,2,2,2
4947,4,"Yes, again",1,8,2,6,6,5
4948,3,"Yes, again",6,9,1,4,4,4
4949,3,No,5,4,2,5,5,5
4950,4,No,5,4,3,6,6,6
4951,3,No,5,4,2,4,4,4
4952,1,"Yes, next time not",2,7,1,2,2,2
4953,2,"Yes, next time not",6,3,1,3,3,3
4954,1,No,5,4,1,2,2,2
4955,1,No,5,2,1,1,1,1
4956,7,No,6,4,5,8,8,8
4957,2,No,6,4,1,3,3,4
4958,2,No,5,4,1,3,3,3
4959,1,"Yes, next time not",6,3,1,1,1,1
4960,1,No,5,2,1,1,1,1
4961,1,No,5,4,1,2,1,1
4962,1,No,5,4,1,2,2,2
4963,2,No,5,3,2,3,3,3
4964,2,"Yes, next time not",8,4,1,2,3,3
4965,3,No,5,4,1,4,4,4
4966,1,"Yes, next time not",6,4,1,2,2,3
4967,7,"Yes, again",8,3,4,7,7,8
4968,5,"Yes, next time not",6,6,4,7,7,7
4969,4,"Yes, next time not",7,3,3,5,5,6
4970,7,"Yes, next time not",7,3,8,8,8,8
4971,2,No,6,2,1,4,4,4
4972,1,No,5,2,1,2,2,2
4973,4,No,5,3,3,5,5,5
4974,3,No,4,2,2,5,5,4
4975,5,No,5,3,3,7,7,7
4976,2,No,4,2,1,4,4,3
4977,2,No,5,4,1,3,3,3
4978,2,No,4,4,1,3,3,3
4979,4,"Yes, again",9,6,3,5,5,6
4980,3,No,6,3,2,5,5,5
4981,4,"Yes, next time not",5,5,2,5,5,5
4982,5,No,5,4,7,6,6,6
4983,2,No,6,2,1,3,3,3
4984,1,No,5,2,1,2,2,2
4985,1,No,6,2,1,1,1,1
4986,1,No,5,3,1,2,2,2
4987,5,No,5,4,5,7,7,7
4988,6,No,5,2,4,7,7,7
4989,1,No,5,3,1,2,2,2
4990,1,No,5,2,1,1,1,1
4991,9,No,6,4,7,10,9,9
4992,1,No,5,4,1,2,2,1
4993,4,No,5,3,3,6,6,6
4994,2,No,6,2,1,3,3,3
4995,1,No,5,4,1,1,1,1
4996,3,No,5,4,2,5,5,5
4997,2,No,6,3,1,3,3,3
4998,5,No,6,2,2,6,6,6
4999,7,"Yes, next time not",6,3,6,8,8,8
5000,3,No,6,4,2,4,4,5
5001,3,No,6,3,2,5,5,5
5002,2,"Yes, next time not",6,3,1,3,3,3
5003,1,"Yes, next time not",7,2,1,2,2,3
5004,1,"Yes, next time not",6,3,1,2,2,3
5005,1,No,6,4,1,2,2,2
5006,1,No,5,2,1,2,2,2
5007,1,No,5,4,1,2,2,1
5008,4,"Yes, next time not",6,4,3,5,5,5
5009,1,No,5,3,1,2,2,2
5010,1,No,6,2,1,1,1,1
5011,2,No,5,3,1,3,3,3
5012,4,No,6,3,2,6,6,6
5013,9,No,6,3,10,9,9,9
5014,2,"Yes, next time not",6,2,1,3,3,3
5015,3,"Yes, next time not",2,4,1,5,5,4
5016,1,No,6,2,1,2,2,2
5017,1,No,4,4,1,1,1,1
5018,2,"Yes, again",4,6,1,3,3,3
5019,2,No,4,4,2,4,4,4
5020,2,No,5,2,2,3,3,3
5021,2,No,6,2,1,3,3,3
5022,2,No,5,2,1,3,4,4
5023,1,No,5,2,1,2,2,2
5024,2,"Yes, next time not",3,6,1,3,3,2
5025,5,"Yes, next time not",6,8,2,6,7,7
5026,2,No,6,3,1,4,4,4
5027,7,"Yes, next time not",7,6,6,8,8,8
5028,1,No,5,4,1,2,2,2
5029,5,No,6,2,6,6,6,6
5030,9,"Yes, next time not",5,6,10,9,10,9
5031,7,No,5,4,10,8,9,8
5032,3,No,6,4,2,4,4,4
5033,3,No,4,5,2,4,5,4
5034,4,No,5,3,6,6,6,6
5035,4,"Yes, next time not",4,6,3,6,6,5
5036,5,No,5,1,5,7,7,7
5037,4,"Yes, next time not",7,2,4,6,6,6
5038,1,No,5,2,1,2,2,2
5039,3,"Yes, next time not",7,3,2,4,4,5
5040,6,No,5,3,4,7,7,7
5041,3,"Yes, next time not",7,6,2,4,4,4
5042,3,No,5,4,1,5,5,5
5043,5,No,5,4,6,7,7,7
5044,4,"Yes, next time not",7,5,2,5,5,5
5045,7,No,5,3,6,8,8,8
5046,7,No,6,3,9,8,8,8
5047,3,"Yes, next time not",5,6,1,4,4,4
5048,2,No,5,3,2,4,4,4
5049,1,No,5,3,1,2,2,2
5050,7,"Yes, again",8,7,5,7,7,8
5051,2,No,5,3,1,3,3,3
5052,4,No,6,3,4,6,6,6
5053,9,No,4,4,10,10,10,9
5054,2,No,6,2,1,3,3,3
5055,3,No,5,3,2,4,4,4
5056,1,No,6,1,1,2,2,2
5057,1,No,5,3,1,1,1,1
5058,4,No,5,2,2,5,5,5
5059,3,No,4,4,1,4,5,4
5060,4,"Yes, next time not",7,3,2,6,6,6
5061,4,No,6,3,5,6,6,6
5062,9,No,5,3,7,10,10,9
5063,2,No,6,2,1,4,4,4
5064,2,"Yes, next time not",7,3,1,3,3,3
5065,1,"Yes, next time not",6,4,1,2,2,2
5066,4,No,5,3,2,6,6,6
5067,3,No,6,3,2,5,5,5
5068,2,No,6,3,1,3,3,3
5069,2,No,5,3,1,3,3,3
5070,2,No,5,2,1,4,4,4
5071,4,No,5,3,3,6,6,6
5072,3,No,8,2,2,4,4,5
5073,2,No,5,3,1,3,3,3
5074,7,No,5,4,8,8,8,8
5075,9,"Yes, next time not",3,7,8,10,10,9
5076,1,No,6,4,1,1,1,2
5077,2,No,6,2,1,3,3,3
5078,7,"Yes, again",8,4,7,7,7,8
5079,4,"Yes, again",8,4,2,5,5,6
5080,1,No,6,2,1,1,1,1
5081,4,No,5,3,3,6,6,6
5082,4,"Yes, again",8,4,3,5,5,6
5083,1,No,5,2,1,2,2,2
5084,4,"Yes, next time not",7,4,4,6,6,6
5085,7,No,4,5,5,8,8,8
5086,4,No,5,3,4,6,6,6
5087,7,No,5,4,5,8,8,8
5088,2,"Yes, next time not",7,6,1,3,3,3
5089,4,No,6,4,2,5,6,6
5090,1,No,5,2,1,2,2,2
5091,3,No,5,2,2,5,5,5
5092,3,No,5,4,2,4,4,4
5093,1,No,5,2,1,2,2,2
5094,5,No,4,5,4,6,6,6
5095,3,No,5,4,2,4,4,4
5096,1,"Yes, next time not",3,8,1,2,2,2
5097,4,No,5,4,3,6,6,6
5098,7,"Yes, next time not",6,2,6,8,8,8
5099,1,No,5,2,1,2,2,2
5100,1,No,5,2,1,2,2,2
5101,1,No,4,2,1,1,1,1
5102,4,No,5,3,3,6,6,6
5103,2,No,5,4,1,3,3,3
5104,3,No,5,2,2,4,4,4
5105,1,No,5,4,1,2,2,2
5106,4,No,5,3,3,6,6,6
5107,6,No,5,4,4,7,7,7
5108,2,No,5,4,1,3,3,3
5109,1,"Yes, next time not",7,3,1,1,1,2
5110,4,"Yes, next time not",4,6,3,6,6,6
5111,1,No,6,2,1,2,2,2
5112,1,No,6,3,1,2,2,2
5113,1,No,6,4,1,1,1,1
5114,2,No,5,3,1,3,3,3
5115,1,No,6,3,1,2,2,2
5116,1,No,5,3,1,2,2,2
5117,1,No,5,3,1,2,2,2
5118,1,No,5,3,1,1,1,1
5119,1,"Yes, next time not",7,4,1,1,1,2
5120,2,No,6,2,2,3,3,3
5121,1,No,5,3,1,1,1,1
5122,2,"Yes, next time not",7,4,1,3,3,3
5123,3,No,5,2,1,5,5,5
5124,4,No,5,5,4,6,6,6
5125,1,No,5,3,1,2,2,2
5126,5,No,5,4,4,7,7,7
5127,5,No,6,4,3,7,6,7
5128,5,No,5,4,3,6,7,6
5129,3,"Yes, next time not",7,4,1,4,4,5
5130,3,No,6,2,2,4,4,4
5131,4,"Yes, again",8,3,2,6,5,6
5132,4,No,5,2,3,6,6,6
5133,1,"Yes, next time not",7,4,1,1,1,2
5134,1,"Yes, next time not",7,2,1,1,1,2
5135,1,No,5,3,1,2,2,2
5136,3,No,5,2,2,4,4,4
5137,1,"Yes, next time not",3,8,1,1,1,1
5138,7,No,5,3,6,8,8,8
5139,2,No,5,4,2,3,3,3
5140,5,"Yes, next time not",7,4,4,7,6,7
5141,1,No,5,3,1,1,1,1
5142,1,"Yes, next time not",5,6,1,2,2,2
5143,3,"Yes, again",8,2,1,4,4,5
5144,7,No,5,4,7,8,8,8
5145,2,No,6,4,1,3,3,3
5146,2,No,5,2,1,4,4,4
5147,1,No,5,2,1,2,2,2
5148,5,"Yes, next time not",7,4,2,6,6,6
5149,1,No,5,3,1,2,2,2
5150,2,"Yes, next time not",4,6,1,4,4,3
5151,5,No,6,4,3,6,6,6
5152,2,No,6,2,1,3,3,3
5153,1,"Yes, next time not",7,2,1,2,2,2
5154,3,"Yes, next time not",6,3,1,5,5,5
5155,1,No,6,2,1,1,1,2
5156,1,No,5,3,1,1,1,1
5157,3,No,5,4,1,4,4,4
5158,7,No,4,4,8,8,8,8
5159,1,No,6,2,1,1,1,1
5160,3,"Yes, again",9,2,1,4,4,5
5161,1,No,4,4,1,2,2,2
5162,1,No,5,3,1,2,2,2
5163,6,No,4,4,4,7,7,7
5164,4,"Yes, next time not",6,4,3,6,6,6
5165,1,No,5,2,1,1,1,1
5166,1,"Yes, next time not",6,4,1,2,2,2
5167,5,No,5,3,4,6,6,6
5168,1,No,5,1,1,1,1,1
5169,1,No,5,2,1,1,1,1
5170,1,No,5,2,1,1,1,1
5171,5,No,5,2,3,7,6,6
5172,5,No,5,4,4,6,6,6
5173,1,No,4,4,1,2,2,2
5174,4,"Yes, again",8,5,3,6,6,6
5175,2,No,6,4,1,3,3,3
5176,2,"Yes, next time not",3,5,1,3,3,3
5177,3,No,5,2,2,4,4,4
5178,6,"Yes, next time not",5,6,4,7,7,7
5179,7,No,5,2,8,8,8,8
5180,8,No,6,4,7,8,8,8
5181,1,No,5,2,1,2,2,2
5182,1,No,5,4,1,2,2,2
5183,1,"Yes, next time not",6,7,1,2,2,2
5184,3,No,5,2,2,4,4,4
5185,2,No,5,3,1,3,3,3
5186,1,No,5,2,1,2,2,2
5187,7,No,5,2,5,8,8,8
5188,1,No,5,2,1,2,2,2
5189,1,No,6,3,1,2,2,2
5190,5,No,5,4,5,6,6,6
5191,4,No,6,4,3,6,6,6
5192,1,No,6,4,1,1,1,1
5193,5,No,5,3,7,6,6,6
5194,2,"Yes, next time not",7,2,1,3,4,4
5195,2,No,6,2,1,4,3,4
5196,5,No,5,4,8,7,7,7
5197,3,"Yes, next time not",5,8,2,4,4,4
5198,1,No,5,2,1,2,1,1
5199,5,No,4,6,3,6,6,6
5200,3,No,4,4,2,4,5,4
5201,8,"Yes, next time not",6,5,6,8,9,9
5202,5,No,6,2,3,7,7,7
5203,5,No,6,2,3,6,6,6
5204,4,No,5,5,3,6,6,6
5205,1,No,5,3,1,2,2,2
5206,1,No,5,3,1,1,1,1
5207,4,No,5,1,5,6,6,6
5208,1,No,5,4,1,2,2,2
5209,4,No,3,2,4,6,6,6
5210,1,No,5,3,1,2,2,2
5211,1,No,5,3,1,2,2,2
5212,2,"Yes, again",8,3,1,3,3,3
5213,1,No,6,2,1,2,2,2
5214,1,No,5,2,1,2,2,2
5215,1,No,5,4,1,1,1,1
5216,2,No,5,2,1,4,4,4
5217,2,"Yes, next time not",6,2,1,3,3,3
5218,3,No,6,3,2,5,5,5
5219,2,No,4,3,1,3,3,3
5220,5,No,5,4,3,6,6,6
5221,2,No,5,4,1,4,3,3
5222,4,No,5,2,3,6,6,6
5223,1,No,5,2,1,2,1,1
5224,7,No,5,4,7,8,8,8
5225,5,No,5,4,4,6,7,6
5226,1,No,5,4,1,2,2,2
5227,4,"Yes, next time not",7,6,3,5,5,6
5228,1,No,5,4,1,1,1,1
5229,4,No,5,2,6,6,6,6
5230,5,No,5,4,6,7,7,7
5231,1,No,5,4,1,1,1,1
5232,2,"Yes, again",5,10,1,3,3,3
5233,3,"Yes, again",9,3,2,4,4,5
5234,2,No,5,4,1,4,4,4
5235,7,No,6,3,6,8,8,8
5236,1,No,5,3,1,2,2,2
5237,3,No,5,2,3,4,4,4
5238,7,No,5,3,4,8,8,7
5239,5,No,6,2,4,7,7,7
5240,1,No,5,2,1,2,2,2
5241,3,No,6,4,2,5,5,5
5242,1,No,6,2,1,1,1,1
5243,2,No,6,4,1,3,3,3
5244,1,No,5,4,1,1,1,1
5245,1,No,6,3,1,1,1,1
5246,3,No,5,4,2,4,4,4
5247,2,No,6,4,1,3,3,3
5248,1,No,5,4,1,2,2,2
5249,1,No,5,2,1,1,1,1
5250,4,No,6,4,4,6,6,6
5251,8,"Yes, next time not",2,4,7,9,10,8
5252,4,No,5,4,3,6,6,6
5253,3,No,5,4,2,5,5,5
5254,6,No,5,3,3,7,7,7
5255,4,No,5,5,3,6,6,6
5256,4,"Yes, next time not",6,3,3,6,6,6
5257,3,No,6,3,2,5,5,5
5258,5,No,5,2,9,6,7,6
5259,3,"Yes, next time not",5,7,1,4,4,4
5260,1,No,6,3,1,1,1,1
5261,1,No,5,4,1,1,1,1
5262,1,No,5,3,1,2,2,2
5263,1,No,5,3,1,2,2,2
5264,1,No,6,3,1,1,1,1
5265,5,No,6,2,3,6,6,6
5266,2,No,6,2,1,3,3,3
5267,7,No,6,2,8,8,8,8
5268,2,No,5,3,1,3,3,3
5269,1,No,5,3,1,1,1,1
5270,5,No,6,4,3,6,6,6
5271,1,No,5,2,1,2,2,2
5272,1,No,6,3,1,2,2,2
5273,9,No,6,3,8,9,9,10
5274,3,No,6,2,2,4,4,4
5275,1,No,5,2,1,1,1,1
5276,3,"Yes, next time not",6,2,2,4,4,5
5277,9,No,5,3,9,10,10,9
5278,3,No,5,3,2,5,5,5
5279,1,No,6,2,1,1,1,2
5280,4,No,6,4,2,6,6,6
5281,1,No,5,3,1,1,1,1
5282,1,No,5,3,1,2,2,2
5283,1,No,5,3,1,2,2,2
5284,3,No,5,3,2,5,5,5
5285,4,"Yes, next time not",6,6,4,6,6,6
5286,3,No,5,4,1,4,4,4
5287,4,No,6,3,2,5,6,6
5288,4,"Yes, next time not",7,4,3,6,6,6
5289,4,"Yes, next time not",3,5,3,6,6,5
5290,5,No,4,3,5,7,7,6
5291,6,No,4,4,5,7,7,7
5292,1,No,5,3,1,2,2,2
5293,7,No,6,2,5,8,8,8
